Baseline short noYear noLongAuthorLine other TOKEN-Baseline B Ba Bas Base e ne ine line InitCap nonNum 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-Baseline B Ba Bas Base e ne ine line InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
0	5	10	15	20 normal noYear noLongAuthorLine other TOKEN-0	5	10	15	20 0 0	 0	5 0	5	 0 20 	20 5	20 others 4+dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-0	5	10	15	20 0 0	 0	5 0	5	 0 20 	20 5	20 others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
Number|||of|||training|||words|||(x100) normal noYear noLongAuthorLine cbracket TOKEN-Number N Nu Num Numb r er ber mber InitCap nonNum 4 no no lastName no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-(x100) ( (x (x1 (x10 ) 0) 00) 100) others hasDig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
Spanish	Italian	French	Dutch+German	English normal noYear noLongAuthorLine other TOKEN-Spanish	Italian	French	Dutch+German	English S Sp Spa Span h sh ish lish InitCap nonNum 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-Spanish	Italian	French	Dutch+German	English S Sp Spa Span h sh ish lish InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
100 normal noYear noLongAuthorLine other TOKEN-100 1 10 100 100 0 00 100 100 others 3dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-100 1 10 100 100 0 00 100 100 others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
90 normal noYear noLongAuthorLine other TOKEN-90 9 90 90 90 0 90 90 90 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-90 9 90 90 90 0 90 90 90 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
80 normal noYear noLongAuthorLine other TOKEN-80 8 80 80 80 0 80 80 80 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-80 8 80 80 80 0 80 80 80 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
70 normal noYear noLongAuthorLine other TOKEN-70 7 70 70 70 0 70 70 70 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-70 7 70 70 70 0 70 70 70 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
60 normal noYear noLongAuthorLine other TOKEN-60 6 60 60 60 0 60 60 60 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-60 6 60 60 60 0 60 60 60 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
50 normal noYear noLongAuthorLine other TOKEN-50 5 50 50 50 0 50 50 50 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-50 5 50 50 50 0 50 50 50 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
40 normal noYear noLongAuthorLine other TOKEN-40 4 40 40 40 0 40 40 40 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-40 4 40 40 40 0 40 40 40 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
30 normal noYear noLongAuthorLine other TOKEN-30 3 30 30 30 0 30 30 30 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-30 3 30 30 30 0 30 30 30 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
20 normal noYear noLongAuthorLine other TOKEN-20 2 20 20 20 0 20 20 20 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-20 2 20 20 20 0 20 20 20 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
10 normal noYear noLongAuthorLine other TOKEN-10 1 10 10 10 0 10 10 10 others 2dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-10 1 10 10 10 0 10 10 10 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
134 normal noYear noLongAuthorLine other TOKEN-134 1 13 134 134 4 34 134 134 others 3dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-134 1 13 134 134 4 34 134 134 others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
Maximilian|||Bisani|||and|||Hermann|||Ney.|||2002.|||Investi- normal hasYear noLongAuthorLine hyphen TOKEN-Maximilian M Ma Max Maxi n an ian lian InitCap nonNum 1 maleName no no no no no TOKEN-Bisani B Bi Bis Bisa i ni ani sani InitCap nonNum 0 no no no no no no TOKEN-Investi- I In Inv Inve - i- ti- sti- InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
gations|||on|||joint-multigram|||models|||for|||grapheme-to- normal noYear noLongAuthorLine hyphen TOKEN-gations g ga gat gati s ns ons ions others nonNum 0 no no no no no no TOKEN-on o on on on n on on on others nonNum 4 no no lastName no no no TOKEN-grapheme-to- g gr gra grap - o- to- -to- others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
phoneme|||conversion.|||InProc.|||International|||Confer- normal noYear noLongAuthorLine hyphen TOKEN-phoneme p ph pho phon e me eme neme others nonNum 0 no no no no no no TOKEN-conversion. c co con conv . n. on. ion. others nonNum 0 no no no no no no TOKEN-Confer- C Co Con Conf - r- er- fer- InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
ence|||on|||Spoken|||Language|||Processing,pages|||105– normal noYear noLongAuthorLine other TOKEN-ence e en enc ence e ce nce ence others nonNum 4 no no lastName no no no TOKEN-on o on on on n on on on others nonNum 4 no no lastName no no no TOKEN-105– 1 10 105 105– – 5– 05– 105– others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
108. short noYear noLongAuthorLine period TOKEN-108. 1 10 108 108. . 8. 08. 108. others 3dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-108. 1 10 108 108. . 8. 08. 108. others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Alan|||W.|||Black,|||Kevin|||Lenzo,|||and|||Vincent|||Pagel.|||1998. normal hasYear noLongAuthorLine period TOKEN-Alan A Al Ala Alan n an lan Alan InitCap nonNum 5 maleName no lastName no no no TOKEN-W. W W. W. W. . W. W. W. singleCap nonNum 32 no no no no no publisherName TOKEN-1998. 1 19 199 1998 . 8. 98. 998. others year 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
Issues|||in|||building|||general|||letter|||to|||sound|||rules.|||In normal noYear noLongAuthorLine other TOKEN-Issues I Is Iss Issu s es ues sues InitCap nonNum 0 no no no no no no TOKEN-in i in in in n in in in others nonNum 4 no no lastName no no no TOKEN-In I In In In n In In In InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
ESCA|||Workshop|||on|||Speech|||Synthesis,pages|||77–80. normal noYear noLongAuthorLine period TOKEN-ESCA E ES ESC ESCA A CA SCA ESCA AllCap nonNum 0 no no no no no no TOKEN-Workshop W Wo Wor Work p op hop shop InitCap nonNum 0 no no no no no no TOKEN-77–80. 7 77 77– 77–8 . 0. 80. –80. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Leo|||Breiman.|||1996.|||Bagging|||predictors.Machine normal hasYear noLongAuthorLine other TOKEN-Leo L Le Leo Leo o eo Leo Leo InitCap nonNum 5 maleName no lastName no no no TOKEN-Breiman. B Br Bre Brei . n. an. man. InitCap nonNum 0 no no no no no no TOKEN-predictors.Machine p pr pre pred e ne ine hine others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
Learning,24(2):123–140. short noYear noLongAuthorLine period TOKEN-Learning,24(2):123–140. L Le Lea Lear . 0. 40. 140. InitCap possibleVol 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-Learning,24(2):123–140. L Le Lea Lear . 0. 40. 140. InitCap possibleVol 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Peter|||F.|||Brown,|||Vincent|||J.|||Della|||Pietra,|||Peter|||V.|||deS- normal noYear noLongAuthorLine hyphen TOKEN-Peter P Pe Pet Pete r er ter eter InitCap nonNum 5 maleName no lastName no no no TOKEN-F. F F. F. F. . F. F. F. singleCap nonNum 32 no no no no no publisherName TOKEN-deS- d de deS deS- - S- eS- deS- others nonNum 1 maleName no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
ouza,|||Jennifer|||C.|||Lai,|||and|||Robert|||L.|||Mercer.|||1992. normal hasYear noLongAuthorLine period TOKEN-ouza, o ou ouz ouza , a, za, uza, others nonNum 0 no no no no no no TOKEN-Jennifer J Je Jen Jenn r er fer ifer InitCap nonNum 6 no femaleName lastName no no no TOKEN-1992. 1 19 199 1992 . 2. 92. 992. others year 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Class-based|||n-gram|||models|||of|||natural|||language. normal noYear noLongAuthorLine period TOKEN-Class-based C Cl Cla Clas d ed sed ased InitCap nonNum 0 no no no no no no TOKEN-n-gram n n- n-g n-gr m am ram gram others nonNum 0 no no no no no no TOKEN-language. l la lan lang . e. ge. age. others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Computational|||Linguistics,18(4):467–479. normal noYear noLongAuthorLine period TOKEN-Computational C Co Com Comp l al nal onal InitCap nonNum 0 no no no no no no TOKEN-Linguistics,18(4):467–479. L Li Lin Ling . 9. 79. 479. InitCap possibleVol 0 no no no no no no TOKEN-Linguistics,18(4):467–479. L Li Lin Ling . 9. 79. 479. InitCap possibleVol 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Carnegie|||Mellon|||University.|||1998.|||The|||Carnegie|||Mel- normal hasYear noLongAuthorLine hyphen TOKEN-Carnegie C Ca Car Carn e ie gie egie InitCap nonNum 20 no no lastName no placeName no TOKEN-Mellon M Me Mel Mell n on lon llon InitCap nonNum 4 no no lastName no no no TOKEN-Mel- M Me Mel Mel- - l- el- Mel- InitCap nonNum 3 maleName femaleName no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
lon|||pronouncing|||dictionary. short noYear noLongAuthorLine period TOKEN-lon l lo lon lon n on lon lon others nonNum 1 maleName no no no no no TOKEN-pronouncing p pr pro pron g ng ing cing others nonNum 0 no no no no no no TOKEN-dictionary. d di dic dict . y. ry. ary. others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
David|||A.|||Cohn,|||Les|||E.|||Atlas,|||and|||Richard|||E.|||Ladner. normal noYear noLongAuthorLine period TOKEN-David D Da Dav Davi d id vid avid InitCap nonNum 21 maleName no lastName no placeName no TOKEN-A. A A. A. A. . A. A. A. singleCap nonNum 32 no no no no no publisherName TOKEN-Ladner. L La Lad Ladn . r. er. ner. InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
1992.|||Improving|||generalization|||with|||active|||learn- normal hasYear noLongAuthorLine hyphen TOKEN-1992. 1 19 199 1992 . 2. 92. 992. others year 0 no no no no no no TOKEN-Improving I Im Imp Impr g ng ing ving InitCap nonNum 0 no no no no no no TOKEN-learn- l le lea lear - n- rn- arn- others nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
ing.Machine|||Learning,15(2):201–221. short noYear noLongAuthorLine period TOKEN-ing.Machine i in ing ing. e ne ine hine others nonNum 0 no no no no no no TOKEN-Learning,15(2):201–221. L Le Lea Lear . 1. 21. 221. InitCap possibleVol 0 no no no no no no TOKEN-Learning,15(2):201–221. L Le Lea Lear . 1. 21. 221. InitCap possibleVol 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Alain|||Content,|||Phillppe|||Mousty,|||and|||Monique|||Radeau. normal noYear noLongAuthorLine period TOKEN-Alain A Al Ala Alai n in ain lain InitCap nonNum 1 maleName no no no no no TOKEN-Content, C Co Con Cont , t, nt, ent, InitCap nonNum 0 no no no no no no TOKEN-Radeau. R Ra Rad Rade . u. au. eau. InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
1990.|||Brulex:|||Une|||base|||de|||données|||lexicales|||in- normal hasYear noLongAuthorLine hyphen TOKEN-1990. 1 19 199 1990 . 0. 90. 990. others year 0 no no no no no no TOKEN-Brulex: B Br Bru Brul : x: ex: lex: InitCap nonNum 0 no no no no no no TOKEN-in- i in in- in- - n- in- in- others nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
formatisée|||pour|||le|||français|||écrit|||et|||parlé.L’année normal noYear noLongAuthorLine other TOKEN-formatisée f fo for form e ée sée isée others nonNum 0 no no no no no no TOKEN-pour p po pou pour r ur our pour others nonNum 4 no no lastName no no no TOKEN-parlé.L’année p pa par parl e ée née nnée others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Psychologique,90:551–566. short noYear noLongAuthorLine period TOKEN-Psychologique,90:551–566. P Ps Psy Psyc . 6. 66. 566. InitCap hasDig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-Psychologique,90:551–566. P Ps Psy Psyc . 6. 66. 566. InitCap hasDig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Piero|||Cosi,|||Roberto|||Gretter,|||and|||Fabio|||Tesser.|||2000. normal hasYear noLongAuthorLine period TOKEN-Piero P Pi Pie Pier o ro ero iero InitCap nonNum 0 no no no no no no TOKEN-Cosi, C Co Cos Cosi , i, si, osi, InitCap nonNum 0 no no no no no no TOKEN-2000. 2 20 200 2000 . 0. 00. 000. others year 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
Festival|||parla|||Italiano.|||InProc.|||Giornate|||del normal noYear noLongAuthorLine other TOKEN-Festival F Fe Fes Fest l al val ival InitCap nonNum 0 no no no no no no TOKEN-parla p pa par parl a la rla arla others nonNum 16 no no no no placeName no TOKEN-del d de del del l el del del others nonNum 7 maleName femaleName lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Gruppo|||di|||Fonetica|||Sperimentale. short noYear noLongAuthorLine period TOKEN-Gruppo G Gr Gru Grup o po ppo uppo InitCap nonNum 0 no no no no no no TOKEN-di d di di di i di di di others nonNum 6 no femaleName lastName no no no TOKEN-Sperimentale. S Sp Spe Sper . e. le. ale. InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Aron|||Culotta|||and|||Andrew|||McCallum.|||2004.|||Con- normal hasYear noLongAuthorLine hyphen TOKEN-Aron A Ar Aro Aron n on ron Aron InitCap nonNum 5 maleName no lastName no no no TOKEN-Culotta C Cu Cul Culo a ta tta otta InitCap nonNum 4 no no lastName no no no TOKEN-Con- C Co Con Con- - n- on- Con- InitCap nonNum 3 maleName femaleName no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
fidence|||estimation|||for|||information|||extraction.|||In normal noYear noLongAuthorLine other TOKEN-fidence f fi fid fide e ce nce ence others nonNum 0 no no no no no no TOKEN-estimation e es est esti n on ion tion others nonNum 0 no no no no no no TOKEN-In I In In In n In In In InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Proc.|||HLT-NAACL,pages|||109–114. short noYear noLongAuthorLine period TOKEN-Proc. P Pr Pro Proc . c. oc. roc. InitCap nonNum 0 no no no no no no TOKEN-HLT-NAACL,pages H HL HLT HLT- s es ges ages others nonNum 0 no no no no no no TOKEN-109–114. 1 10 109 109– . 4. 14. 114. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Aron|||Culotta|||and|||Andrew|||McCallum.|||2005.|||Reduc- normal hasYear noLongAuthorLine hyphen TOKEN-Aron A Ar Aro Aron n on ron Aron InitCap nonNum 5 maleName no lastName no no no TOKEN-Culotta C Cu Cul Culo a ta tta otta InitCap nonNum 4 no no lastName no no no TOKEN-Reduc- R Re Red Redu - c- uc- duc- InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
ing|||labeling|||effort|||for|||structured|||prediction|||tasks.|||In normal noYear noLongAuthorLine other TOKEN-ing i in ing ing g ng ing ing others nonNum 4 no no lastName no no no TOKEN-labeling l la lab labe g ng ing ling others nonNum 0 no no no no no no TOKEN-In I In In In n In In In InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
Proc.|||National|||Conference|||on|||Artificial|||Intelligence, normal noYear noLongAuthorLine comma TOKEN-Proc. P Pr Pro Proc . c. oc. roc. InitCap nonNum 0 no no no no no no TOKEN-National N Na Nat Nati l al nal onal InitCap nonNum 0 no no no no no no TOKEN-Intelligence, I In Int Inte , e, ce, nce, InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
pages|||746–751. short noYear noLongAuthorLine period TOKEN-pages p pa pag page s es ges ages others nonNum 4 no no lastName no no no TOKEN-746–751. 7 74 746 746– . 1. 51. 751. others 4+dig 0 no no no no no no TOKEN-746–751. 7 74 746 746– . 1. 51. 751. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
