of|||a|||method|||for|||simultaneous|||estimation|||of|||effective|||population normal noYear noLongAuthorLine other TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-a a a a a a a a a others nonNum 32 no no no no no publisherName TOKEN-population p po pop popu n on ion tion others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
size|||and|||mutation|||rate|||from|||human|||population|||data.|||Proc. normal noYear noLongAuthorLine period TOKEN-size s si siz size e ze ize size others nonNum 0 no no no no no no TOKEN-and a an and and d nd and and others nonNum 0 no no no no no no TOKEN-Proc. P Pr Pro Proc . c. oc. roc. InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Natl.|||Acad.|||Sci.|||USA|||86:|||9407-9411. short noYear noLongAuthorLine period TOKEN-Natl. N Na Nat Natl . l. tl. atl. InitCap nonNum 0 no no no no no no TOKEN-Acad. A Ac Aca Acad . d. ad. cad. InitCap nonNum 0 no no no no no no TOKEN-9407-9411. 9 94 940 9407 . 1. 11. 411. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
CHAKRABORTY,|||R.,|||M.|||FORNAGE,|||R.|||GUEGUEN|||and|||E.|||BOERWINKLE, normal noYear isLongAuthorLine comma TOKEN-CHAKRABORTY, C CH CHA CHAK , Y, TY, RTY, AllCap nonNum 0 no no no no no no TOKEN-R., R R. R., R., , ., R., R., singleCap nonNum 0 no no no no no no TOKEN-BOERWINKLE, B BO BOE BOER , E, LE, KLE, AllCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
1991|||Population|||genetics|||of|||hypervariable|||loci:|||analysis|||of normal hasYear noLongAuthorLine other TOKEN-1991 1 19 199 1991 1 91 991 1991 others year 0 no no no no no no TOKEN-Population P Po Pop Popu n on ion tion InitCap nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
PCR|||based|||VNTR|||polymorphism|||within|||a|||population,|||pp. normal noYear noLongAuthorLine period TOKEN-PCR P PC PCR PCR R CR PCR PCR AllCap nonNum 0 no no no no no no TOKEN-based b ba bas base d ed sed ased others nonNum 0 no no no no no no TOKEN-pp. p pp pp. pp. . p. pp. pp. others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
127-143in|||DNA|||Fingerprinting|||Approaches|||and|||Applications, normal noYear noLongAuthorLine comma TOKEN-127-143in 1 12 127 127- n in 3in 43in others possiblePage 0 no no no no no no TOKEN-DNA D DN DNA DNA A NA DNA DNA AllCap nonNum 0 no no no no no no TOKEN-Applications, A Ap App Appl , s, ns, ons, InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
edited|||by|||T.|||BURKE,|||G.|||DOLE,|||A.|||J.|||JEFFREYS|||and|||R.|||WOLFF. normal noYear noLongAuthorLine period TOKEN-edited e ed edi edit d ed ted ited others nonNum 0 no no no no no no TOKEN-by b by by by y by by by others nonNum 0 no no no no no no TOKEN-WOLFF. W WO WOL WOLF . F. FF. LFF. AllCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
Birkhauser|||Verlag,|||Basel/Switzerland. short noYear noLongAuthorLine period TOKEN-Birkhauser B Bi Bir Birk r er ser user InitCap nonNum 0 no no no no no no TOKEN-Verlag, V Ve Ver Verl , g, ag, lag, InitCap nonNum 32 no no no no no publisherName TOKEN-Basel/Switzerland. B Ba Bas Base . d. nd. and. InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
DEAN,|||M.,|||S.|||LUCAS-DERSE,|||S.|||J.|||O'BRIEN,|||E.|||F.|||KIRKNESS,|||C.|||M. normal noYear isLongAuthorLine period TOKEN-DEAN, D DE DEA DEAN , N, AN, EAN, AllCap nonNum 5 maleName no lastName no no no TOKEN-M., M M. M., M., , ., M., M., singleCap nonNum 0 no no no no no no TOKEN-M. M M. M. M. . M. M. M. singleCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
FRASER|||and|||D.|||GOLDMAN,|||1991|||Genetic|||mapping|||of|||the|||01 normal hasYear noLongAuthorLine other TOKEN-FRASER F FR FRA FRAS R ER SER ASER AllCap nonNum 53 maleName no lastName no placeName publisherName TOKEN-and a an and and d nd and and others nonNum 0 no no no no no no TOKEN-01 0 01 01 01 1 01 01 01 others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
GABA|||receptor|||gene|||to|||human|||chromosome|||4,|||using|||a|||tetran- normal noYear noLongAuthorLine hyphen TOKEN-GABA G GA GAB GABA A BA ABA GABA AllCap nonNum 4 no no lastName no no no TOKEN-receptor r re rec rece r or tor ptor others nonNum 0 no no no no no no TOKEN-tetran- t te tet tetr - n- an- ran- others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
uleotide|||repeat|||polymorphism.|||Am.|||J.|||Hum.|||Genet.|||49:|||621- normal noYear noLongAuthorLine hyphen TOKEN-uleotide u ul ule uleo e de ide tide others nonNum 0 no no no no no no TOKEN-repeat r re rep repe t at eat peat others nonNum 0 no no no no no no TOKEN-621- 6 62 621 621- - 1- 21- 621- others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
626. short noYear noLongAuthorLine period TOKEN-626. 6 62 626 626. . 6. 26. 626. others 3dig 0 no no no no no no TOKEN-EMPTY E EM EMP EMPT Y TY PTY MPTY AllCap nonNum 0 no no no no no no TOKEN-626. 6 62 626 626. . 6. 26. 626. others 3dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
DEKA,|||R.,|||R.|||CHAKRABORTY|||and|||R.|||E.|||FERRELL,|||1991|||A|||popula- normal hasYear noLongAuthorLine hyphen TOKEN-DEKA, D DE DEK DEKA , A, KA, EKA, AllCap nonNum 0 no no no no no no TOKEN-R., R R. R., R., , ., R., R., singleCap nonNum 0 no no no no no no TOKEN-popula- p po pop popu - a- la- ula- others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
tion|||genetic|||study|||of|||six|||VNTR|||loci|||in|||three|||ethnically|||defined normal noYear noLongAuthorLine other TOKEN-tion t ti tio tion n on ion tion others nonNum 0 no no no no no no TOKEN-genetic g ge gen gene c ic tic etic others nonNum 0 no no no no no no TOKEN-defined d de def defi d ed ned ined others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
populations.|||Genomics|||11:|||83-92. short noYear noLongAuthorLine period TOKEN-populations. p po pop popu . s. ns. ons. others nonNum 0 no no no no no no TOKEN-Genomics G Ge Gen Geno s cs ics mics InitCap nonNum 0 no no no no no no TOKEN-83-92. 8 83 83- 83-9 . 2. 92. -92. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
DOAK,|||S.,|||S.|||JORDAN,|||P.|||MCWILLIAM,|||and|||P.|||HUMPHRIES, normal noYear isLongAuthorLine comma TOKEN-DOAK, D DO DOA DOAK , K, AK, OAK, AllCap nonNum 4 no no lastName no no no TOKEN-S., S S. S., S., , ., S., S., singleCap nonNum 32 no no no no no publisherName TOKEN-HUMPHRIES, H HU HUM HUMP , S, ES, IES, AllCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
1991|||Tetranucleotide|||repeat|||polymorphism|||at|||the|||ACPP|||lo- normal hasYear noLongAuthorLine hyphen TOKEN-1991 1 19 199 1991 1 91 991 1991 others year 0 no no no no no no TOKEN-Tetranucleotide T Te Tet Tetr e de ide tide InitCap nonNum 0 no no no no no no TOKEN-lo- l lo lo- lo- - o- lo- lo- others nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
cus.|||Nucleic|||Acids|||Res.|||19:|||4793. short noYear noLongAuthorLine period TOKEN-cus. c cu cus cus. . s. us. cus. others nonNum 0 no no no no no no TOKEN-Nucleic N Nu Nuc Nucl c ic eic leic InitCap nonNum 0 no no no no no no TOKEN-4793. 4 47 479 4793 . 3. 93. 793. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
EDWARDS|||A.,|||H.|||A.|||HAMMOND,|||L.|||JIN,|||C.|||T.|||CASKEY|||and|||R. normal noYear isLongAuthorLine period TOKEN-EDWARDS E ED EDW EDWA S DS RDS ARDS AllCap nonNum 20 no no lastName no placeName no TOKEN-A., A A. A., A., , ., A., A., singleCap nonNum 32 no no no no no publisherName TOKEN-R. R R. R. R. . R. R. R. singleCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
CHAKRABORTY,|||1992|||Genetic|||variation|||at|||five|||trimeric|||and normal hasYear noLongAuthorLine other TOKEN-CHAKRABORTY, C CH CHA CHAK , Y, TY, RTY, AllCap nonNum 0 no no no no no no TOKEN-1992 1 19 199 1992 2 92 992 1992 others year 0 no no no no no no TOKEN-and a an and and d nd and and others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
tetrameric|||tandem|||repeat|||loci|||in|||four|||human|||population normal noYear noLongAuthorLine other TOKEN-tetrameric t te tet tetr c ic ric eric others nonNum 0 no no no no no no TOKEN-tandem t ta tan tand m em dem ndem others nonNum 0 no no no no no no TOKEN-population p po pop popu n on ion tion others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
groups.|||Genomics|||12:|||241-253. short noYear noLongAuthorLine period TOKEN-groups. g gr gro grou . s. ps. ups. others nonNum 0 no no no no no no TOKEN-Genomics G Ge Gen Geno s cs ics mics InitCap nonNum 0 no no no no no no TOKEN-241-253. 2 24 241 241- . 3. 53. 253. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
EDWARDS,|||M.|||C.,|||P.|||R.|||CLEMENS,|||M.|||TRISTAN,|||A.|||PIZZUTI|||and|||R. normal noYear isLongAuthorLine period TOKEN-EDWARDS, E ED EDW EDWA , S, DS, RDS, AllCap nonNum 20 no no lastName no placeName no TOKEN-M. M M. M. M. . M. M. M. singleCap nonNum 0 no no no no no no TOKEN-R. R R. R. R. . R. R. R. singleCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
A.|||GIBBS,|||1991|||Pentanucleotide|||repeat|||length|||polymorphism normal hasYear noLongAuthorLine other TOKEN-A. A A. A. A. . A. A. A. singleCap nonNum 32 no no no no no publisherName TOKEN-GIBBS, G GI GIB GIBB , S, BS, BBS, AllCap nonNum 4 no no lastName no no no TOKEN-polymorphism p po pol poly m sm ism hism others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
at|||the|||human|||CD4|||locus.|||Nucleic|||Acids|||Res.|||19:|||4791. normal noYear noLongAuthorLine period TOKEN-at a at at at t at at at others nonNum 0 no no no no no no TOKEN-the t th the the e he the the others nonNum 32 no no no no no publisherName TOKEN-4791. 4 47 479 4791 . 1. 91. 791. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
EWENS,|||W.|||J.,|||1972|||The|||sampling|||theory|||of|||selectively|||neutral normal hasYear noLongAuthorLine other TOKEN-EWENS, E EW EWE EWEN , S, NS, ENS, AllCap nonNum 4 no no lastName no no no TOKEN-W. W W. W. W. . W. W. W. singleCap nonNum 32 no no no no no publisherName TOKEN-neutral n ne neu neut l al ral tral others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
alleles.|||Theor.|||Popul.|||Biol.|||3:|||87-112. short noYear noLongAuthorLine period TOKEN-alleles. a al all alle . s. es. les. others nonNum 0 no no no no no no TOKEN-Theor. T Th The Theo . r. or. eor. InitCap nonNum 0 no no no no no no TOKEN-87-112. 8 87 87- 87-1 . 2. 12. 112. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
FLINT,|||J,|||A.|||J.|||BOYCE,|||J.|||J.|||MARTINSON|||and|||J.|||B.|||CLEGG, normal noYear isLongAuthorLine comma TOKEN-FLINT, F FL FLI FLIN , T, NT, INT, AllCap nonNum 21 maleName no lastName no placeName no TOKEN-J, J J, J, J, , J, J, J, singleCap nonNum 4 no no lastName no no no TOKEN-CLEGG, C CL CLE CLEG , G, GG, EGG, AllCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
1989|||Population|||bottlenecks|||in|||Polynesia|||revealed|||by|||mini- normal hasYear noLongAuthorLine hyphen TOKEN-1989 1 19 198 1989 9 89 989 1989 others year 0 no no no no no no TOKEN-Population P Po Pop Popu n on ion tion InitCap nonNum 0 no no no no no no TOKEN-mini- m mi min mini - i- ni- ini- others nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
satellites.|||Hum.|||Genet.|||83:|||257-263. short noYear noLongAuthorLine period TOKEN-satellites. s sa sat sate . s. es. tes. others nonNum 0 no no no no no no TOKEN-Hum. H Hu Hum Hum. . m. um. Hum. InitCap nonNum 4 no no lastName no no no TOKEN-257-263. 2 25 257 257- . 3. 63. 263. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
FORNAGE,|||M.,|||L.|||CHAN,|||G.|||SIEST|||and|||E.|||BOERWINKLE,|||1992|||Allele normal hasYear noLongAuthorLine other TOKEN-FORNAGE, F FO FOR FORN , E, GE, AGE, AllCap nonNum 0 no no no no no no TOKEN-M., M M. M., M., , ., M., M., singleCap nonNum 0 no no no no no no TOKEN-Allele A Al All Alle e le ele lele InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
frequency|||distribution|||of|||the(TG)n(AG)„microsatellite|||in|||the normal noYear noLongAuthorLine other TOKEN-frequency f fr fre freq y cy ncy ency others nonNum 0 no no no no no no TOKEN-distribution d di dis dist n on ion tion others nonNum 0 no no no no no no TOKEN-the t th the the e he the the others nonNum 32 no no no no no publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
apolipoprotein|||C-II|||gene.|||Genomics|||12:|||63-68. normal noYear noLongAuthorLine period TOKEN-apolipoprotein a ap apo apol n in ein tein others nonNum 0 no no no no no no TOKEN-C-II C C- C-I C-II I II -II C-II AllCap nonNum 0 no no no no no no TOKEN-63-68. 6 63 63- 63-6 . 8. 68. -68. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
FOUGEROUSSE,|||F.,|||R.|||MELON!,|||C.|||ROUDAUT|||and|||J.|||S.|||BECKMANN, normal noYear isLongAuthorLine comma TOKEN-FOUGEROUSSE, F FO FOU FOUG , E, SE, SSE, AllCap nonNum 0 no no no no no no TOKEN-F., F F. F., F., , ., F., F., singleCap nonNum 32 no no no no no publisherName TOKEN-BECKMANN, B BE BEC BECK , N, NN, ANN, AllCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
1992|||Tetranucleotide|||repeat|||polymorphism|||at|||the|||human|||N- normal hasYear noLongAuthorLine hyphen TOKEN-1992 1 19 199 1992 2 92 992 1992 others year 0 no no no no no no TOKEN-Tetranucleotide T Te Tet Tetr e de ide tide InitCap nonNum 0 no no no no no no TOKEN-N- N N- N- N- - N- N- N- singleCap nonNum 32 no no no no no publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
MYC|||gene|||(MYCN).|||Nucleic|||Acids|||Res.|||20:|||1165. normal hasYear noLongAuthorLine period TOKEN-MYC M MY MYC MYC C YC MYC MYC AllCap nonNum 0 no no no no no no TOKEN-gene g ge gen gene e ne ene gene others nonNum 7 maleName femaleName lastName no no no TOKEN-1165. 1 11 116 1165 . 5. 65. 165. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
HARTL,|||D.|||L.,|||1980|||Principles|||of|||Population|||Genetics.|||Sinauer normal hasYear noLongAuthorLine other TOKEN-HARTL, H HA HAR HART , L, TL, RTL, AllCap nonNum 4 no no lastName no no no TOKEN-D. D D. D. D. . D. D. D. singleCap nonNum 0 no no no no no no TOKEN-Sinauer S Si Sin Sina r er uer auer InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
Associates,|||Sunderland,|||Mass. short noYear noLongAuthorLine period TOKEN-Associates, A As Ass Asso , s, es, tes, InitCap nonNum 0 no no no no no no TOKEN-Sunderland, S Su Sun Sund , d, nd, and, InitCap nonNum 20 no no lastName no placeName no TOKEN-Mass. M Ma Mas Mass . s. ss. ass. InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_right xmlPara_continue unknown
JANSEN,|||G.,|||P.|||J.|||DE|||JONG,|||C.|||AMEMIYA,|||C.|||ASLANIDIS,|||D.|||J.|||SHAW, normal noYear isLongAuthorLine comma TOKEN-JANSEN, J JA JAN JANS , N, EN, SEN, AllCap nonNum 4 no no lastName no no no TOKEN-G., G G. G., G., , ., G., G., singleCap nonNum 32 no no no no no publisherName TOKEN-SHAW, S SH SHA SHAW , W, AW, HAW, AllCap nonNum 21 maleName no lastName no placeName no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
H.|||G.|||HARLEY,|||D.|||BROOK,|||R.|||FENWICK,|||R.|||G.|||KORNELUK,|||C. normal noYear isLongAuthorLine period TOKEN-H. H H. H. H. . H. H. H. singleCap nonNum 0 no no no no no no TOKEN-G. G G. G. G. . G. G. G. singleCap nonNum 32 no no no no no publisherName TOKEN-C. C C. C. C. . C. C. C. singleCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
TSILFIDIS,|||G.|||SHUTLER,|||R.|||HERMENS,|||N.|||G.|||M.|||WORMSKAMP, normal noYear isLongAuthorLine comma TOKEN-TSILFIDIS, T TS TSI TSIL , S, IS, DIS, AllCap nonNum 0 no no no no no no TOKEN-G. G G. G. G. . G. G. G. singleCap nonNum 32 no no no no no publisherName TOKEN-WORMSKAMP, W WO WOR WORM , P, MP, AMP, AllCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
H.|||J.|||M.|||SMEETS|||and|||BEWIERINGA,|||1992|||Physical|||and|||genetic normal hasYear noLongAuthorLine other TOKEN-H. H H. H. H. . H. H. H. singleCap nonNum 0 no no no no no no TOKEN-J. J J. J. J. . J. J. J. singleCap nonNum 4 no no lastName no no no TOKEN-genetic g ge gen gene c ic tic etic others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
characterization|||of|||the|||distal|||segment|||of|||the|||myotonic|||dystro- normal noYear noLongAuthorLine hyphen TOKEN-characterization c ch cha char n on ion tion others nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-dystro- d dy dys dyst - o- ro- tro- others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
phy|||are|||on|||19q.|||Genomics|||13:|||509-517. short noYear noLongAuthorLine period TOKEN-phy p ph phy phy y hy phy phy others nonNum 4 no no lastName no no no TOKEN-are a ar are are e re are are others nonNum 0 no no no no no no TOKEN-509-517. 5 50 509 509- . 7. 17. 517. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
JEFFREYS,|||A.|||J.,|||V.|||WILSON|||and|||L.|||THEIN,|||1985|||Hyper|||variable normal hasYear noLongAuthorLine other TOKEN-JEFFREYS, J JE JEF JEFF , S, YS, EYS, AllCap nonNum 4 no no lastName no no no TOKEN-A. A A. A. A. . A. A. A. singleCap nonNum 32 no no no no no publisherName TOKEN-variable v va var vari e le ble able others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
